suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2011,120,11,egsk,25,1.662538e+02,-1.338804e+02,4.159725e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,gsk,25,1.333840e+03,1.279643e+02,2.312040e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,agsk,25,-4.761202e+03,-1.844385e+04,-1.252709e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,apgsk,25,-7.612318e+03,-1.677522e+04,-2.249910e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,fdb-agsk,25,3.251509e+01,-2.255098e+03,1.557248e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,atmals-gsk,25,8.555820e+02,-2.117643e+02,1.789340e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,240,12,egsk,25,1.272482e+03,-4.010841e+02,2.385353e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,gsk,25,-1.552564e+00,-7.192605e+00,1.030025e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,agsk,25,1.171804e+00,5.512633e-01,2.076929e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,apgsk,25,5.202250e-01,-5.012099e-01,1.500060e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,fdb-agsk,25,7.466023e-01,8.840100e-02,1.613888e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,atmals-gsk,25,1.299657e+00,6.491351e-01,2.227486e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,6,13,egsk,25,-1.403995e+00,-6.020538e+00,5.123057e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,gsk,25,-2.850525e+02,-3.385205e+02,-2.252702e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,agsk,25,-4.244701e+02,-4.817296e+02,-3.510042e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,apgsk,25,-2.914614e+02,-3.382091e+02,-2.395608e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,fdb-agsk,25,-5.682778e+02,-6.013593e+02,-5.301424e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,atmals-gsk,25,-6.284474e+01,-1.196598e+02,-7.261302e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,13,14,egsk,25,7.202690e+01,3.970715e+01,1.040480e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,gsk,25,-4.689209e+01,-6.350368e+01,-3.312677e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,agsk,25,-1.272345e+02,-1.506801e+02,-1.022752e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,apgsk,25,-1.837431e+02,-2.120699e+02,-1.573372e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,fdb-agsk,25,-1.422445e+02,-1.661137e+02,-1.172788e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,atmals-gsk,25,1.934249e+00,-1.155199e+01,1.271702e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,15,15,egsk,25,1.518829e+01,6.780534e+00,2.411615e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,gsk,25,-4.091262e+03,-4.918034e+03,-3.217644e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,agsk,25,-3.388343e+03,-4.084488e+03,-2.562104e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,apgsk,25,-2.614363e+03,-3.181202e+03,-1.840321e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,fdb-agsk,25,-2.582107e+03,-3.382267e+03,-1.781757e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,atmals-gsk,25,3.433192e+03,2.786457e+03,4.114469e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,40,16,egsk,25,5.627816e+03,5.060713e+03,6.256050e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,gsk,25,-1.957516e+05,-2.353281e+05,-1.634222e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,agsk,25,-1.078406e+05,-1.371152e+05,-8.913171e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,apgsk,25,-1.111633e+05,-1.557847e+05,-8.964890e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,fdb-agsk,25,-8.779166e+04,-1.083596e+05,-7.483609e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,atmals-gsk,25,-1.570335e+04,-2.508581e+04,-5.465802e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,140,17,egsk,25,8.979487e+02,-6.996416e+03,9.438095e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,gsk,25,-3.194938e+05,-3.530054e+05,-2.838594e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,agsk,25,-1.709321e+05,-1.873040e+05,-1.574941e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,apgsk,25,-7.812346e+04,-8.405467e+04,-7.175018e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,fdb-agsk,25,-1.284982e+05,-1.407411e+05,-1.169348e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,atmals-gsk,25,-2.287653e+02,-2.294994e+03,1.504580e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,18,egsk,25,3.300772e+03,2.224646e+03,4.490537e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,gsk,25,-9.540999e+05,-1.010852e+06,-9.032185e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,agsk,25,-5.174278e+05,-5.919612e+05,-4.542005e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,apgsk,25,-5.475752e+05,-5.915824e+05,-5.048466e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,fdb-agsk,25,-3.909342e+05,-4.332438e+05,-3.467774e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,atmals-gsk,25,4.962451e+04,3.528970e+04,6.990962e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,19,egsk,25,5.411571e+04,3.899261e+04,7.446386e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,gsk,25,-3.398730e+05,-3.784111e+05,-3.101649e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,agsk,25,-1.619304e+05,-1.814665e+05,-1.444393e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,apgsk,25,-8.700582e+04,-9.865447e+04,-7.665286e+04,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,fdb-agsk,25,-1.353042e+05,-1.527268e+05,-1.182024e+05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,atmals-gsk,25,-6.455947e+02,-1.953908e+03,6.024446e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,96,20,egsk,25,2.879259e+03,1.654887e+03,4.041375e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,gsk,25,3.167010e-01,-6.818555e-01,1.063897e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,agsk,25,-5.790422e-01,-1.314546e+00,2.955984e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,apgsk,25,6.006369e-02,-6.114425e-01,1.109769e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,fdb-agsk,25,-7.527830e-01,-1.436366e+00,-1.052350e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,atmals-gsk,25,-4.617416e+00,-6.537670e+00,-3.053007e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,26,21,egsk,25,5.623964e-01,2.302089e-02,1.064474e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,gsk,25,7.306901e-02,-1.940152e+00,2.095271e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,agsk,25,-3.204699e+00,-4.809065e+00,-1.218975e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,apgsk,25,-2.620324e+00,-4.432750e+00,-4.281609e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,fdb-agsk,25,-3.479152e+00,-4.955380e+00,-1.956721e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,atmals-gsk,25,-2.823726e+00,-5.150287e+00,-5.067511e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2011,22,22,egsk,25,-2.223746e-01,-2.206653e+00,1.412996e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
