suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2013,10,11,fdb-agsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2013,10,11,atmals-gsk,51,-9.625681e-02,-1.926172e-01,-5.353419e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,11,egsk,51,-4.311489e+00,-4.857740e+00,-3.823764e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,gsk,51,-2.069640e+01,-2.194077e+01,-1.941946e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,agsk,51,-7.333640e+00,-8.145331e+00,-6.497890e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,apgsk,51,-1.168733e+01,-1.350224e+01,-1.010672e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,fdb-agsk,51,-7.173630e+00,-8.116555e+00,-6.315505e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,atmals-gsk,51,-7.435391e+00,-8.663374e+00,-6.207204e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,12,egsk,51,-3.105935e+00,-3.813159e+00,-2.382438e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,gsk,51,-1.867073e+01,-1.999172e+01,-1.730810e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,agsk,51,-8.413661e+00,-9.993005e+00,-6.986159e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,apgsk,51,-1.328775e+01,-1.515685e+01,-1.146327e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,fdb-agsk,51,-6.935683e+00,-8.387020e+00,-5.489548e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,atmals-gsk,51,-9.543591e+00,-1.129951e+01,-7.900803e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,13,egsk,51,-2.760665e+00,-4.042365e+00,-1.549481e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,gsk,51,-1.142384e+03,-1.183519e+03,-1.090819e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,agsk,51,1.102137e-02,-6.122984e-03,2.939033e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,apgsk,51,-2.204274e-02,-4.163629e-02,-2.449194e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,fdb-agsk,51,-9.796775e-03,-2.939033e-02,1.224597e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,atmals-gsk,51,-3.180087e+02,-3.494400e+02,-2.826144e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,14,egsk,51,-7.623224e+02,-8.457011e+02,-6.814371e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,gsk,51,-9.493781e+02,-9.925589e+02,-9.053409e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,agsk,51,-2.672750e+02,-3.166556e+02,-2.158929e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,apgsk,51,-1.979169e+02,-2.504004e+02,-1.415051e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,fdb-agsk,51,-2.823774e+02,-3.266519e+02,-2.375158e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,atmals-gsk,51,-4.233691e+02,-5.063272e+02,-3.471903e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,15,egsk,51,-5.022789e+02,-5.708678e+02,-4.292410e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,gsk,51,-7.312759e-01,-7.987380e-01,-6.636850e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,agsk,51,-5.102459e-01,-5.883768e-01,-4.200835e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,apgsk,51,-2.570975e-01,-3.384801e-01,-1.572455e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,fdb-agsk,51,-4.853036e-01,-5.580780e-01,-4.200478e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,atmals-gsk,51,-3.125503e-01,-4.035307e-01,-2.189044e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,16,egsk,51,1.743002e-01,1.119555e-01,2.454063e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,gsk,51,-1.485745e+01,-1.589220e+01,-1.396974e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,agsk,51,-3.969575e-01,-1.389351e+00,1.984788e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,apgsk,51,2.377233e+00,7.938590e-01,3.771055e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,fdb-agsk,51,5.744165e+00,4.156335e+00,7.133516e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,atmals-gsk,51,-1.029710e+00,-1.968857e+00,-2.398401e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,17,egsk,51,-4.868315e+00,-5.832370e+00,-4.232350e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,18,gsk,51,-1.825664e+01,-1.929221e+01,-1.711093e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2013,10,18,agsk,51,-9.083907e+00,-1.028572e+01,-7.926750e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
