suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2013,50,4,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,4,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,4,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,4,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,5,gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,5,agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,5,apgsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,5,fdb-agsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,5,atmals-gsk,per_function_runlevel,51,0.000000e+00,1.000000e+00,1.000000e+00,tie,ok
cec2013,50,5,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,6,gsk,per_function_runlevel,51,2.100000e+01,4.144832e-09,6.217247e-08,win,ok
cec2013,50,6,agsk,per_function_runlevel,51,3.200000e+02,8.443111e-01,1.000000e+00,tie,ok
cec2013,50,6,apgsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.490422e-08,win,ok
cec2013,50,6,fdb-agsk,per_function_runlevel,51,1.120000e+02,2.249241e-05,2.249241e-04,win,ok
cec2013,50,6,atmals-gsk,per_function_runlevel,51,1.710000e+02,1.117251e-02,5.990063e-02,tie,ok
cec2013,50,6,egsk,per_function_runlevel,51,2.900000e+01,7.615002e-07,1.370700e-05,loss,ok
cec2013,50,7,gsk,per_function_runlevel,51,2.000000e+02,1.457180e-05,1.748616e-04,win,ok
cec2013,50,7,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,7,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,7,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,7,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,50,7,egsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.796104e-08,win,ok
cec2013,50,8,gsk,per_function_runlevel,51,3.890000e+02,1.035805e-02,7.250636e-02,tie,ok
cec2013,50,8,agsk,per_function_runlevel,51,4.460000e+02,4.242195e-02,2.969537e-01,tie,ok
cec2013,50,8,apgsk,per_function_runlevel,51,4.060000e+02,1.620371e-02,8.101857e-02,tie,ok
cec2013,50,8,fdb-agsk,per_function_runlevel,51,4.120000e+02,1.887178e-02,1.132307e-01,tie,ok
cec2013,50,8,atmals-gsk,per_function_runlevel,51,5.090000e+02,1.501996e-01,6.007984e-01,tie,ok
cec2013,50,8,egsk,per_function_runlevel,51,5.600000e+02,3.366626e-01,1.000000e+00,tie,ok
cec2013,50,9,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,9,agsk,per_function_runlevel,51,1.680000e+02,3.570128e-06,3.570128e-05,win,ok
cec2013,50,9,apgsk,per_function_runlevel,51,2.680000e+02,2.175092e-04,1.305055e-03,win,ok
cec2013,50,9,fdb-agsk,per_function_runlevel,51,2.330000e+02,5.678442e-05,5.110598e-04,win,ok
cec2013,50,9,atmals-gsk,per_function_runlevel,51,1.420000e+02,1.068344e-06,1.175178e-05,win,ok
cec2013,50,9,egsk,per_function_runlevel,51,4.090000e+02,1.749319e-02,1.924251e-01,tie,ok
cec2013,50,10,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,10,agsk,per_function_runlevel,51,4.710000e+02,7.265059e-02,3.847925e-01,tie,ok
cec2013,50,10,apgsk,per_function_runlevel,51,3.300000e+01,3.633982e-09,3.270584e-08,win,ok
cec2013,50,10,fdb-agsk,per_function_runlevel,51,5.400000e+02,3.490837e-01,1.000000e+00,tie,ok
cec2013,50,10,atmals-gsk,per_function_runlevel,51,1.160000e+02,3.018874e-07,3.734050e-06,win,ok
cec2013,50,10,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,11,gsk,per_function_runlevel,51,3.360000e+02,2.210281e-03,1.989253e-02,win,ok
cec2013,50,11,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,11,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,11,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,11,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,11,egsk,per_function_runlevel,51,6.610000e+02,9.887819e-01,1.000000e+00,tie,ok
cec2013,50,12,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,12,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,12,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,12,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,12,atmals-gsk,per_function_runlevel,51,7.000000e+00,8.063014e-10,1.490422e-08,win,ok
cec2013,50,12,egsk,per_function_runlevel,51,6.030000e+02,5.770347e-01,1.000000e+00,tie,ok
cec2013,50,13,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,13,agsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.490422e-08,win,ok
cec2013,50,13,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,13,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,13,atmals-gsk,per_function_runlevel,51,4.000000e+00,6.751958e-10,1.490422e-08,win,ok
cec2013,50,13,egsk,per_function_runlevel,51,1.630000e+02,2.843476e-06,4.549562e-05,win,ok
cec2013,50,14,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,14,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,14,apgsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.490422e-08,loss,ok
cec2013,50,14,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,14,atmals-gsk,per_function_runlevel,51,4.000000e+00,6.751958e-10,1.490422e-08,loss,ok
cec2013,50,14,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,15,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,15,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,15,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.490422e-08,win,ok
cec2013,50,15,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,15,atmals-gsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.490422e-08,win,ok
cec2013,50,15,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,16,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,16,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,16,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,16,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,16,atmals-gsk,per_function_runlevel,51,2.700000e+01,2.580588e-09,3.870881e-08,win,ok
cec2013,50,16,egsk,per_function_runlevel,51,9.600000e+01,1.098142e-07,2.086471e-06,loss,ok
cec2013,50,17,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,17,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,17,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,17,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,17,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,17,egsk,per_function_runlevel,51,6.540000e+02,9.364960e-01,1.000000e+00,tie,ok
cec2013,50,18,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,18,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,18,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,18,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,18,atmals-gsk,per_function_runlevel,51,8.300000e+01,5.587969e-08,7.823156e-07,win,ok
cec2013,50,18,egsk,per_function_runlevel,51,1.650000e+02,3.115254e-06,4.672880e-05,loss,ok
cec2013,50,19,gsk,per_function_runlevel,51,2.900000e+02,4.801970e-04,5.282167e-03,win,ok
cec2013,50,19,agsk,per_function_runlevel,51,1.860000e+02,7.959600e-06,7.163640e-05,win,ok
cec2013,50,19,apgsk,per_function_runlevel,51,2.070000e+02,1.959461e-05,1.567569e-04,win,ok
cec2013,50,19,fdb-agsk,per_function_runlevel,51,3.580000e+02,4.314384e-03,3.020069e-02,win,ok
cec2013,50,19,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,loss,ok
cec2013,50,19,egsk,per_function_runlevel,51,1.880000e+02,8.686561e-06,1.129253e-04,loss,ok
cec2013,50,20,gsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.490422e-08,win,ok
cec2013,50,20,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.490422e-08,win,ok
cec2013,50,20,apgsk,per_function_runlevel,51,1.500000e+01,1.289355e-09,1.490422e-08,win,ok
cec2013,50,20,fdb-agsk,per_function_runlevel,51,6.000000e+00,7.600557e-10,1.490422e-08,win,ok
cec2013,50,20,atmals-gsk,per_function_runlevel,51,2.290000e+02,4.838835e-05,4.838835e-04,win,ok
cec2013,50,20,egsk,per_function_runlevel,51,1.690000e+02,3.735428e-06,5.229600e-05,loss,ok
cec2013,50,21,gsk,per_function_runlevel,51,1.860000e+02,4.513714e-03,3.610971e-02,win,ok
