suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2017,30,21,apgsk,51,7.843137e-01,5.686275e-01,large,ok
cec2017,30,21,fdb-agsk,51,8.881200e-01,7.762399e-01,large,ok
cec2017,30,21,atmals-gsk,51,9.842368e-01,9.684737e-01,large,ok
cec2017,30,21,egsk,51,1.384083e-01,-7.231834e-01,large,ok
cec2017,30,22,gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,22,agsk,51,5.098039e-01,1.960784e-02,negligible,ok
cec2017,30,22,apgsk,51,6.470588e-01,2.941176e-01,medium,ok
cec2017,30,22,fdb-agsk,51,6.078431e-01,2.156863e-01,small,ok
cec2017,30,22,atmals-gsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,22,egsk,51,5.000000e-01,0.000000e+00,negligible,ok
cec2017,30,23,gsk,51,8.627451e-01,7.254902e-01,large,ok
cec2017,30,23,agsk,51,9.984621e-01,9.969243e-01,large,ok
cec2017,30,23,apgsk,51,9.823145e-01,9.646290e-01,large,ok
cec2017,30,23,fdb-agsk,51,9.892349e-01,9.784698e-01,large,ok
cec2017,30,23,atmals-gsk,51,9.861592e-01,9.723183e-01,large,ok
cec2017,30,23,egsk,51,1.168781e-01,-7.662438e-01,large,ok
cec2017,30,24,gsk,51,9.615532e-01,9.231065e-01,large,ok
cec2017,30,24,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,24,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,24,fdb-agsk,51,9.965398e-01,9.930796e-01,large,ok
cec2017,30,24,atmals-gsk,51,9.796232e-01,9.592464e-01,large,ok
cec2017,30,24,egsk,51,1.980008e-01,-6.039985e-01,large,ok
cec2017,30,25,gsk,51,5.505575e-01,1.011150e-01,negligible,ok
cec2017,30,25,agsk,51,3.829296e-01,-2.341407e-01,small,ok
cec2017,30,25,apgsk,51,4.994233e-01,-1.153403e-03,negligible,ok
cec2017,30,25,fdb-agsk,51,2.360631e-01,-5.278739e-01,large,ok
cec2017,30,25,atmals-gsk,51,5.866974e-01,1.733948e-01,small,ok
cec2017,30,25,egsk,51,5.924644e-01,1.849289e-01,small,ok
cec2017,30,26,gsk,51,9.304114e-02,-8.139177e-01,large,ok
cec2017,30,26,agsk,51,9.688581e-02,-8.062284e-01,large,ok
cec2017,30,26,apgsk,51,1.960784e-02,-9.607843e-01,large,ok
cec2017,30,26,fdb-agsk,51,3.079585e-01,-3.840830e-01,medium,ok
cec2017,30,26,atmals-gsk,51,6.993464e-01,3.986928e-01,medium,ok
cec2017,30,26,egsk,51,2.960400e-02,-9.407920e-01,large,ok
cec2017,30,27,gsk,51,4.340638e-01,-1.318724e-01,small,ok
cec2017,30,27,agsk,51,5.678585e-01,1.357170e-01,small,ok
cec2017,30,27,apgsk,51,9.188774e-01,8.377547e-01,large,ok
cec2017,30,27,fdb-agsk,51,8.027682e-01,6.055363e-01,large,ok
cec2017,30,27,atmals-gsk,51,6.616686e-01,3.233372e-01,medium,ok
cec2017,30,27,egsk,51,5.201845e-01,4.036909e-02,negligible,ok
