suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability
cec2017,50,26,egsk,per_function_runlevel,51,3.830000e+02,8.796043e-03,1.055525e-01,tie,ok
cec2017,50,27,gsk,per_function_runlevel,51,4.540000e+02,5.065759e-02,2.532880e-01,tie,ok
cec2017,50,27,agsk,per_function_runlevel,51,1.800000e+02,6.111419e-06,3.666851e-05,loss,ok
cec2017,50,27,apgsk,per_function_runlevel,51,4.020000e+02,1.461473e-02,4.384418e-02,win,ok
cec2017,50,27,fdb-agsk,per_function_runlevel,51,2.510000e+02,1.147446e-04,6.884673e-04,loss,ok
cec2017,50,27,atmals-gsk,per_function_runlevel,51,2.730000e+02,2.613238e-04,1.829266e-03,win,ok
cec2017,50,27,egsk,per_function_runlevel,51,4.170000e+02,2.138106e-02,2.138106e-01,tie,ok
cec2017,50,28,gsk,per_function_runlevel,51,3.370000e+02,3.779855e-03,2.645898e-02,win,ok
cec2017,50,28,agsk,per_function_runlevel,51,4.710000e+02,6.036022e-01,7.314186e-01,tie,ok
cec2017,50,28,apgsk,per_function_runlevel,51,5.790000e+02,4.338123e-01,8.676246e-01,tie,ok
cec2017,50,28,fdb-agsk,per_function_runlevel,51,5.405000e+02,6.297650e-01,1.000000e+00,tie,ok
cec2017,50,28,atmals-gsk,per_function_runlevel,51,3.710000e+02,6.483575e-02,1.945072e-01,tie,ok
cec2017,50,28,egsk,per_function_runlevel,51,6.300000e+02,7.606423e-01,1.000000e+00,tie,ok
cec2017,50,29,gsk,per_function_runlevel,51,2.300000e+01,2.050526e-09,3.096912e-08,loss,ok
cec2017,50,29,agsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.543652e-08,win,ok
cec2017,50,29,apgsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.543652e-08,win,ok
cec2017,50,29,fdb-agsk,per_function_runlevel,51,1.700000e+01,1.448669e-09,2.028136e-08,win,ok
cec2017,50,29,atmals-gsk,per_function_runlevel,51,6.070000e+02,6.029051e-01,1.000000e+00,tie,ok
cec2017,50,29,egsk,per_function_runlevel,51,6.400000e+01,2.028479e-08,5.071199e-07,loss,ok
cec2017,50,30,gsk,per_function_runlevel,51,3.380000e+02,2.352679e-03,1.882143e-02,loss,ok
cec2017,50,30,agsk,per_function_runlevel,51,1.360000e+02,8.021611e-07,5.615128e-06,loss,ok
cec2017,50,30,apgsk,per_function_runlevel,51,1.960000e+02,1.228033e-05,7.368200e-05,loss,ok
cec2017,50,30,fdb-agsk,per_function_runlevel,51,1.360000e+02,8.021611e-07,6.417289e-06,loss,ok
cec2017,50,30,atmals-gsk,per_function_runlevel,51,6.570000e+02,9.588839e-01,1.000000e+00,tie,ok
cec2017,50,30,egsk,per_function_runlevel,51,4.200000e+02,2.302215e-02,2.138106e-01,tie,ok
