suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,50,9,agsk,2.802107e+00,2.802351e+01,3.369955e+01,1.390672e+02,2.622553e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,9,apgsk,1.110707e+02,8.521576e+02,1.500353e+03,1.807061e+04,2.533772e+03,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,9,fdb-agsk,3.589482e+00,2.921740e+01,3.162874e+01,8.461844e+01,2.208933e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,9,atmals-gsk,0.000000e+00,1.749568e+00,2.581608e+00,9.811048e+00,2.246978e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,9,egsk,0.000000e+00,8.952825e-02,2.290745e-01,9.981763e-01,2.941677e-01,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,9,dt-gsk,0.000000e+00,0.000000e+00,9.707421e-02,5.438523e-01,1.467538e-01,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,10,gsk,1.180197e+04,1.297218e+04,1.291294e+04,1.377988e+04,3.913767e+02,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,10,agsk,6.865261e+03,7.738337e+03,7.754785e+03,8.527308e+03,3.499246e+02,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,10,apgsk,5.103940e+03,6.133714e+03,6.105069e+03,6.712455e+03,3.589937e+02,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,10,fdb-agsk,6.160041e+03,7.604443e+03,7.549430e+03,8.271142e+03,4.447948e+02,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,10,atmals-gsk,4.198970e+03,5.835157e+03,5.918093e+03,7.707172e+03,7.270790e+02,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,10,egsk,8.149460e+03,1.098221e+04,1.072886e+04,1.277405e+04,1.224132e+03,cec2017/egsk/egsk_cec2017_D50.csv
