Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
11,1040244325,1161899311.604948,811396034.5638981,783699559.8762099,783699559.8762099,771736059.8984118,214139365.7987143,212133584.6284439,211757302.2090891,211639925.5855204,211587319.9030633,211548384.7808859,211425390.3494946,211327381.8860576,211261173.5633845
12,1041244362,1168754211.043197,955021878.0793847,912253026.1222583,791786479.3866655,696275685.8984227,227816891.0646814,223892264.7535282,222671635.7606775,222143159.727345,222013302.8670633,221976371.800851,221229224.7313907,221033010.818381,220901795.1749851
13,1042244399,1218055909.647067,964654509.748951,860965302.981885,852941611.7770559,802952408.6281,317709141.1528281,266765738.5640754,264385115.4619344,263421351.3848343,263052374.7917516,262763452.5768542,261991918.2396585,261671288.4638138,261531267.6135259
14,1043244436,1210225333.82435,955624717.9694928,928736842.3258244,873880079.4669505,781930539.4483424,241407607.4662296,238126790.4104571,237672126.8953319,237562138.511269,237517462.9284421,237414236.5342365,237237856.1160184,237114669.7754709,237054565.9559001
15,1044244473,1133031950.025313,1022869158.480654,965328388.1733836,812982591.6498158,788620388.56854,330969135.7760497,325973813.5385337,325249929.9689077,325015652.8885852,324859875.9266036,324751194.7903783,324512447.7297266,324435201.9181185,324367667.5078058
16,1045244510,1259259083.850296,992531117.1856833,882783078.59129,881998799.3548743,808085827.438821,292135809.9113656,289522117.2931548,289133727.8439164,288960076.7065956,288853780.6212365,288773486.0541273,287576551.1435739,287315663.2025987,287175826.9525843
17,1046244547,1098322434.759921,996124635.5488788,944023245.5667353,818735790.0402645,279468793.1069491,268159862.3445914,267562363.889209,267051613.4674191,266958369.7748657,266902616.1198502,266867918.716693,266729444.4587768,266615086.5549174,266566681.4477372
18,1047244584,1256598138.032526,1023428242.179644,937244402.878286,858088154.2476753,729690915.1437248,267560235.119591,263997878.6279505,263503512.8382241,263310301.156342,263244898.6429088,263183814.4088183,263036882.2002659,262966854.8017764,262922500.1293382
19,1048244621,1078782941.6322,976332651.2604607,849138354.2162286,827458856.616087,716916813.222891,209964425.615997,202943314.4000726,202228195.0967795,202129906.8700355,202071279.2378731,202034838.9174292,201832102.5429008,201772959.7789888,201744044.1993587
20,1049244658,1257423733.782576,1096523163.443474,990974943.3503951,841664974.6285527,729935681.1573942,223660781.7099417,217788186.2901759,217171652.4990195,217009945.1010839,216953186.2915532,216908828.0213491,216755535.304796,216572026.921178,216468849.1981844
21,1050244695,1255238052.024931,957204373.3214469,857936566.3515363,754514609.6058453,731179502.2550067,617085379.2909442,227779684.2217849,226222017.1318569,225757576.4058951,225604882.3591356,225479211.5386127,225205572.497532,225051677.4364664,224856192.2673463
22,1051244732,1080303026.02447,964270756.1546096,857804826.2793069,807932990.450471,702962961.2668912,180038077.7563882,176473735.7417099,175331743.0806598,175046949.1951743,174678429.6151997,174493288.8852991,173457687.7333327,172788089.586925,172637362.1632993
23,1052244769,1083450240.494367,985778396.7658503,857139166.3085424,794406396.4444416,763082925.1578937,704361338.0124201,260964295.847102,258687782.8033667,258230436.4085073,258108681.3428873,257998890.6468295,257704745.3770275,257449073.4972368,257359264.2236518
24,1053244806,1170003371.043152,944276925.2998389,846140731.0252575,822774472.2741104,731457449.4229534,249616123.8078212,244468253.9723786,243115720.6370155,242606818.515555,242499954.3102483,242374103.2548696,242178845.8055392,242129915.1065161,242063051.3996594
25,1054244843,1181521025.557116,1016817888.746,970053662.1163918,877206773.1527855,750512206.1414409,224597580.445676,219229711.5668252,216770726.9065699,216412076.5163128,216278202.0143185,216184200.4006291,215520109.6499737,215425771.9778563,215318938.762993
