Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
12,1037244230,56692764.22650531,36189803.47528984,24869144.67191799,20641845.40646885,15015656.25986295,13140288.28249426,10745621.16599362,10745621.16599362,10745621.16599362,10745621.16599362,10745621.16599362,10427220.44832602,10427220.44832602,10342739.38738328
13,1038244267,54040193.85379963,31101974.96194692,22082542.23838916,20983391.93243038,14453353.78676425,11918456.68397505,11918456.68397505,11250382.18344617,11250382.18344617,11209478.84661037,11209478.84661037,10352048.70042737,10352048.70042737,10352048.70042737
14,1039244304,61394348.01011887,27128959.11183754,23187007.7648428,18061010.73530937,14085416.23759031,12734401.63236971,10777087.89319885,10777087.89319885,10777087.89319885,10777087.89319885,10777087.89319885,10777087.89319885,10153043.29958452,10153043.29958452
15,1040244341,50197348.48254199,29469657.53208759,19553113.68740156,18649159.35608977,14418744.28003301,13268214.66617585,9940132.930445442,9940132.930445442,9940132.930445442,9940132.930445442,9940132.930445442,9940132.930445442,9940132.930445442,9940132.930445442
16,1041244378,53274602.85051696,30171818.70689507,25552551.06764761,19776541.81448606,13516428.18070034,12096309.39470953,11783405.93290664,10709721.70076204,10709721.70076204,10709721.70076204,10709721.70076204,10709721.70076204,10709721.70076204,10709721.70076204
17,1042244415,44090933.13145868,21539495.31408202,20391581.02368435,15035154.86163478,13647066.80725509,11276942.41875089,10615207.63772981,10615207.63772981,10615207.63772981,10615207.63772981,10356234.90890342,10356234.90890342,10356234.90890342,10356234.90890342
18,1043244452,60089607.4397578,39707383.32002091,33133953.2605275,21675008.28478992,16637080.74889046,12971303.30522438,12527428.78083787,11580375.91038072,11295956.4132011,11295956.4132011,11249318.53242073,11249318.53242073,10501359.85922707,10501359.85922707
19,1044244489,56730716.60438632,32074604.0500796,25282697.23365213,19855400.55810095,16284186.94360578,12843258.79028548,11458072.08457409,11458072.08457409,11336733.57920442,10673566.98754254,10583229.10379961,10209123.07537861,10209123.07537861,10209123.07537861
20,1045244526,45299951.13763107,27001424.24304356,20552829.27272019,19100457.16463912,15365166.61258954,12840990.87661578,10735198.44139848,10656278.13357629,10656278.13357629,10472888.66788731,10472888.66788731,10472888.66788731,10472888.66788731,10472888.66788731
21,1046244563,50348885.05550011,36151620.26309574,28306805.3617822,18724587.47537316,14326501.89398797,12039288.10374898,11701130.61162957,11549076.12697233,11549076.12697233,10926559.44207703,10926559.44207703,10798035.67566457,10798035.67566457,10798035.67566457
22,1047244600,42855743.40465991,27015664.07546543,24899875.6889474,22967308.54583237,14742203.02246902,12671521.4311761,12091655.92984582,10881017.21212633,10881017.21212633,10801911.19098768,10370929.77960149,10370929.77960149,10370929.77960149,10370929.77960149
23,1048244637,53147993.53424997,31688049.08824409,28554363.05560214,19815234.35690024,15347137.66720898,12393256.42588947,10815604.71394546,10186654.3337799,10186654.3337799,10186654.3337799,10186654.3337799,10186654.3337799,10186654.3337799,10186654.3337799
24,1049244674,77808501.96030152,32253101.26959665,25789466.98136492,18858692.89237582,15719455.02576223,14660345.37062758,12090951.80350361,11189554.24963572,10919848.18774964,10919848.18774964,10902448.09883137,10883835.98311254,10812946.22042204,10291392.63110091
25,1050244711,46898643.31569032,28596335.3522193,28316172.85486729,18875641.83083314,15949789.26076054,12829935.00759306,10918492.67109418,10918492.67109418,10918492.67109418,10918492.67109418,10918492.67109418,10918492.67109418,10918492.67109418,10918492.67109418
