suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2011,7,8,agsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/agsk/agsk_cec2011.csv
cec2011,7,8,apgsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/apgsk/apgsk_cec2011.csv
cec2011,7,8,fdb-agsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,7,8,atmals-gsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,7,8,egsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,7,8,dt-gsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,126,9,gsk,1.594519e+03,2.160526e+03,2.239880e+03,3.343925e+03,4.437879e+02,cec2011/gsk/gsk_cec2011.csv
cec2011,126,9,agsk,1.796630e+03,3.388960e+03,3.531273e+03,7.026678e+03,1.212971e+03,cec2011/agsk/agsk_cec2011.csv
cec2011,126,9,apgsk,8.708387e+02,1.822981e+03,1.874879e+03,3.224290e+03,6.079698e+02,cec2011/apgsk/apgsk_cec2011.csv
cec2011,126,9,fdb-agsk,1.518339e+03,4.125405e+03,5.251407e+03,2.499670e+04,4.728215e+03,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,126,9,atmals-gsk,1.209279e+03,2.163854e+03,2.308028e+03,4.141331e+03,7.342082e+02,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,126,9,egsk,1.355697e+03,2.239775e+03,2.239406e+03,3.209346e+03,5.449142e+02,cec2011/egsk/egsk_cec2011.csv
cec2011,126,9,dt-gsk,1.653612e+03,2.322902e+03,2.404909e+03,3.890203e+03,4.730317e+02,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,12,10,gsk,-2.184234e+01,-2.164372e+01,-2.160528e+01,-2.135578e+01,1.224122e-01,cec2011/gsk/gsk_cec2011.csv
cec2011,12,10,agsk,-2.184133e+01,-2.181607e+01,-2.172351e+01,-2.139652e+01,1.338715e-01,cec2011/agsk/agsk_cec2011.csv
cec2011,12,10,apgsk,-2.183408e+01,-2.165076e+01,-2.165686e+01,-2.139002e+01,1.593664e-01,cec2011/apgsk/apgsk_cec2011.csv
cec2011,12,10,fdb-agsk,-2.169522e+01,-2.112385e+01,-2.086083e+01,-1.859953e+01,7.553911e-01,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,12,10,atmals-gsk,-2.184254e+01,-1.751419e+01,-1.755462e+01,-1.188803e+01,3.517173e+00,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,12,10,egsk,-2.184254e+01,-2.164373e+01,-2.062139e+01,-1.298982e+01,2.776776e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,12,10,dt-gsk,-2.184196e+01,-2.164251e+01,-2.158009e+01,-2.139178e+01,1.534791e-01,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,120,11,gsk,5.138748e+04,5.220021e+04,5.225156e+04,5.324240e+04,5.249675e+02,cec2011/gsk/gsk_cec2011.csv
cec2011,120,11,agsk,5.169872e+04,5.248077e+04,5.277600e+04,5.449378e+04,7.957313e+02,cec2011/agsk/agsk_cec2011.csv
cec2011,120,11,apgsk,5.126928e+04,5.228079e+04,5.223463e+04,5.289347e+04,4.216729e+02,cec2011/apgsk/apgsk_cec2011.csv
cec2011,120,11,fdb-agsk,5.096211e+04,5.281570e+04,5.267522e+04,5.366707e+04,6.063569e+02,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,120,11,atmals-gsk,5.162936e+04,5.237770e+04,5.238225e+04,5.311996e+04,4.623585e+02,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,120,11,egsk,5.116540e+04,5.217031e+04,5.213863e+04,5.280553e+04,3.692476e+02,cec2011/egsk/egsk_cec2011.csv
cec2011,120,11,dt-gsk,5.130067e+04,5.238547e+04,5.230488e+04,5.322398e+04,5.824634e+02,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,240,12,gsk,1.069942e+06,1.072871e+06,1.073112e+06,1.075913e+06,1.526004e+03,cec2011/gsk/gsk_cec2011.csv
cec2011,240,12,agsk,1.071134e+06,1.074506e+06,1.079207e+06,1.163091e+06,1.862755e+04,cec2011/agsk/agsk_cec2011.csv
cec2011,240,12,apgsk,1.069364e+06,1.073925e+06,1.082058e+06,1.135455e+06,1.816725e+04,cec2011/apgsk/apgsk_cec2011.csv
cec2011,240,12,fdb-agsk,1.070115e+06,1.073656e+06,1.074413e+06,1.085128e+06,3.825011e+03,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,240,12,atmals-gsk,1.070296e+06,1.073747e+06,1.073590e+06,1.076482e+06,1.773333e+03,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,240,12,egsk,1.068352e+06,1.072659e+06,1.073173e+06,1.081098e+06,2.370498e+03,cec2011/egsk/egsk_cec2011.csv
cec2011,240,12,dt-gsk,1.070404e+06,1.074735e+06,1.074458e+06,1.078129e+06,2.225276e+03,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,6,13,gsk,1.544419e+04,1.544419e+04,1.544704e+04,1.547544e+04,8.634328e+00,cec2011/gsk/gsk_cec2011.csv
cec2011,6,13,agsk,1.544419e+04,1.544423e+04,1.544431e+04,1.544509e+04,2.275841e-01,cec2011/agsk/agsk_cec2011.csv
cec2011,6,13,apgsk,1.544419e+04,1.544449e+04,1.544497e+04,1.545055e+04,1.274529e+00,cec2011/apgsk/apgsk_cec2011.csv
cec2011,6,13,fdb-agsk,1.544422e+04,1.544437e+04,1.544474e+04,1.544665e+04,6.390485e-01,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,6,13,atmals-gsk,1.544419e+04,1.544419e+04,1.544419e+04,1.544419e+04,6.012590e-05,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,6,13,egsk,1.544419e+04,1.544419e+04,1.544689e+04,1.547544e+04,6.760469e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,6,13,dt-gsk,1.544419e+04,1.544427e+04,1.544549e+04,1.545029e+04,1.996677e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,13,14,gsk,1.823813e+04,1.852099e+04,1.848396e+04,1.867213e+04,1.219241e+02,cec2011/gsk/gsk_cec2011.csv
cec2011,13,14,agsk,1.827820e+04,1.864266e+04,1.862338e+04,1.885408e+04,1.436141e+02,cec2011/agsk/agsk_cec2011.csv
cec2011,13,14,apgsk,1.829833e+04,1.849532e+04,1.849037e+04,1.865929e+04,1.006513e+02,cec2011/apgsk/apgsk_cec2011.csv
cec2011,13,14,fdb-agsk,1.859298e+04,1.879150e+04,1.876719e+04,1.891159e+04,8.562492e+01,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,13,14,atmals-gsk,1.802318e+04,1.822670e+04,1.826176e+04,1.847634e+04,1.144264e+02,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,13,14,egsk,1.801881e+04,1.811493e+04,1.812688e+04,1.824793e+04,5.932047e+01,cec2011/egsk/egsk_cec2011.csv
cec2011,13,14,dt-gsk,1.808242e+04,1.819873e+04,1.819891e+04,1.833208e+04,7.069064e+01,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,15,15,gsk,3.276971e+04,3.279925e+04,3.280367e+04,3.288375e+04,2.786127e+01,cec2011/gsk/gsk_cec2011.csv
cec2011,15,15,agsk,3.277999e+04,3.288606e+04,3.288401e+04,3.297701e+04,5.733715e+01,cec2011/agsk/agsk_cec2011.csv
cec2011,15,15,apgsk,3.281019e+04,3.293963e+04,3.294052e+04,3.306786e+04,6.829662e+01,cec2011/apgsk/apgsk_cec2011.csv
cec2011,15,15,fdb-agsk,3.278479e+04,3.289408e+04,3.289902e+04,3.302586e+04,6.133336e+01,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,15,15,atmals-gsk,3.271689e+04,3.275070e+04,3.275484e+04,3.283049e+04,2.014845e+01,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,15,15,egsk,3.269739e+04,3.274225e+04,3.274159e+04,3.275014e+04,9.616828e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,15,15,dt-gsk,3.270838e+04,3.275819e+04,3.275678e+04,3.280035e+04,2.266397e+01,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,40,16,gsk,1.317433e+05,1.350384e+05,1.348624e+05,1.380723e+05,1.873227e+03,cec2011/gsk/gsk_cec2011.csv
cec2011,40,16,agsk,1.302466e+05,1.340831e+05,1.341595e+05,1.387785e+05,2.116189e+03,cec2011/agsk/agsk_cec2011.csv
cec2011,40,16,apgsk,1.304758e+05,1.336351e+05,1.333855e+05,1.359289e+05,1.608094e+03,cec2011/apgsk/apgsk_cec2011.csv
cec2011,40,16,fdb-agsk,1.301211e+05,1.331166e+05,1.333532e+05,1.354384e+05,1.529103e+03,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,40,16,atmals-gsk,1.254922e+05,1.275260e+05,1.273379e+05,1.286527e+05,8.667321e+02,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,40,16,egsk,1.235630e+05,1.250416e+05,1.251433e+05,1.267689e+05,8.489309e+02,cec2011/egsk/egsk_cec2011.csv
cec2011,40,16,dt-gsk,1.286493e+05,1.306689e+05,1.307711e+05,1.339408e+05,1.389351e+03,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,140,17,gsk,1.964567e+06,2.073153e+06,2.087036e+06,2.322075e+06,9.458036e+04,cec2011/gsk/gsk_cec2011.csv
cec2011,140,17,agsk,1.936077e+06,1.983290e+06,1.999125e+06,2.211939e+06,6.088054e+04,cec2011/agsk/agsk_cec2011.csv
