Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
14,1044244469,95030919.54613739,95030683.49050982,95030025.59555826,94705305.18025468,94385861.88948728,94366590.17442915,94366584.91152473,94366582.624025,94366577.51488705,94366496.08620569,94349093.17253353,94247725.34800023,93806829.87588912,93750090.377289
15,1045244506,94803285.13605005,94778847.17501129,94772103.4529158,94771226.06064487,94169061.43235677,94160294.17987786,93832577.2171637,93832248.3987999,93827797.97810926,93827796.70054336,93827693.39323907,93827692.20234068,93827633.8468349,93350702.9436195
16,1046244543,94795544.25473627,94785639.98949146,94602651.76283222,94588364.28615534,94079580.1983428,94064829.59121877,94053921.55543815,94053755.55522849,94053332.10434264,94053326.06719624,94053150.27592073,94052883.6231124,94052880.37258105,94030855.39889771
17,1047244580,95065872.40849277,95047231.63106109,94860888.79873708,94554261.37299617,94553625.30437474,94094934.85319272,94088064.83109798,94085592.08721191,93950859.40817264,93949888.70440294,93949024.25086822,93949007.02277447,93943169.88627574,93938137.0412419
18,1048244617,95092945.8193879,94843930.40934789,94843927.9227825,94841984.36980104,94482876.84026672,93614644.15624572,93609099.08869563,93604307.45153309,93603721.56211784,93603253.2559569,93603195.73898531,93596013.76985651,93591655.95100002,93391257.04147582
19,1049244654,94866882.98628084,94855551.14558677,94855543.72764605,94851620.98821613,94786505.54568052,94662846.58172385,94619498.91372477,94613339.71594541,94510886.41051991,94393184.14333215,94390034.43674885,94276352.48953705,93881136.11849725,93605871.7796385
20,1050244691,95104634.19997132,94856786.08876786,94357470.0601528,94353861.55157052,94269444.2052705,94067032.38134614,94067027.16983843,93800523.68682414,93800521.03915371,93785716.76671247,93785711.94948214,93783811.9011575,93774473.96165185,93765773.84001192
21,1051244728,95125770.75109616,95019332.51847506,95017969.88332127,94942795.61406368,94823813.50783193,94289333.40497242,94028070.61612131,94025169.84376606,94021782.31378856,94021383.68872137,93624640.3320746,93616574.33635323,93616522.79332161,93436997.93950427
22,1052244765,95069314.2671034,94735026.75697422,94709584.99600756,94709578.22870283,94660752.02213009,94417238.12896898,94417222.36429286,94412375.15924791,94412371.68644051,94171623.70666738,94168792.18476307,94045106.95443767,93779305.19347911,93039029.3630127
23,1053244802,94980163.50763226,94959191.78424276,94949557.2891138,94949542.80383942,94731150.36478576,94717588.18228576,94578603.47316509,94578300.12786774,93629045.45422494,93625943.89340085,93625105.64169759,93614883.31718744,93596776.99420117,93104095.76118609
24,1054244839,94693682.48468432,94693572.10869539,94596208.35481347,94593806.85654171,94583661.32426466,94508315.68419246,94287184.61951388,94242457.48648717,94241025.67064817,93847470.16214915,93834367.34602839,93834007.86420283,93828830.10631232,93726703.20643847
25,1055244876,95096870.16009063,94685689.20890978,94678377.30530557,94548420.39411256,94534445.18002161,94530777.43260761,94346681.31259547,94345130.28429253,94192542.63169032,94165170.93400155,94165066.0878125,94072145.05790779,94057950.83619347,93704129.38103318
