Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
11,1042244391,3.730019835436609e+16,9097635970349280,7523786804473228,3335141444220040,926736025489366.9,31751870712102.92,5265946352706.109,607755214760.5571,128646380677.7573,35157671193.00334,11134368924.25387,3433550567.926399,609794211.0304067,465577640.8710116
12,1043244428,3.885749624480796e+16,5677780427712813,4745064751236324,2724983534376620,722983009390029.1,32496759888964.91,4531547666967.956,704697530828.6123,143510136205.4951,40654661163.26727,10738782497.9805,2438063260.512416,562859877.0812508,395367657.2302468
13,1044244465,2.495100712022623e+16,1.543075379066254e+16,7888044413527970,2172640605447588,819944880174608.8,35315279477377.52,4875168335816.068,770805134478.7771,197255140462.5836,52235378845.48573,14669021075.26963,3186609914.811339,655143110.4581139,414648997.4395001
14,1045244502,1.902067586100453e+16,1.136333258881797e+16,7623053328917509,2651834404862195,940089837498031.8,35369347088844.09,4888246083907.51,716610553144.6915,160925853221.0338,45763783322.00483,14376236582.66186,5167239802.81548,1073990517.990833,692908317.0595324
15,1046244539,2.682417522892295e+16,1.122227796888305e+16,7759767267143463,2967033797365963,846150523059859.8,30481946685324.05,4566338456140.15,597608582339.2729,129913657582.1581,36465699752.87381,9352528148.837521,1889905594.161165,554787829.2103698,395166223.9678425
16,1047244576,3.68786160187316e+16,1.482433648721935e+16,7484233898337318,2702743683408333,909612888021105.8,40869541532040.19,4802983141183.386,622334181547.9934,164539337098.0878,45923318998.82268,14502367072.50151,2989559897.45042,696353612.1336492,472710806.2598938
17,1048244613,2.771519122386102e+16,1.434604211567486e+16,5202674925728848,3270532876613166,664034022046450,25703340407776.39,4030761480511.43,503233240712.0013,168331656481.2714,50587493511.48768,15543733590.78317,4017842099.653062,753228344.4044367,540212146.4630772
18,1049244650,2.003764651285102e+16,9811536716712300,8312573458628116,1347343247974809,838513149435793.4,19386538140592.47,3381039885943.018,591425277060.085,138105349329.7092,40029934816.8642,13253345385.92093,3515124682.929152,596861533.7390052,376643390.9877888
19,1050244687,2.604582024371414e+16,1.453833720867757e+16,5616237700955307,1436531340212708,557953631198782.5,44521531860767.04,5766115871697.312,874712005162.5422,178015392812.6698,51998651111.51044,10301104332.67813,2786596779.589413,594743774.6764871,383390901.021793
20,1051244724,3.048125539386918e+16,8594913046838311,6249755498806622,1860114946081055,872917852693060.2,31044864202526.31,5965450209645.457,738202148784.1918,152734870098.0155,40846083223.28407,11272020157.27356,2374741409.36992,627019493.6801655,457082284.5648085
21,1052244761,3.049381300617195e+16,9248842596648910,6812355056089485,3631874006231680,892011478920443.9,34535493651819.61,5068034445900.134,634723839594.2664,121752829858.1521,40378685077.66403,7817496268.20407,1747521648.487884,544418938.0604541,385152513.1641232
22,1053244798,2.24077093312753e+16,7742923660425432,4564524912012763,2846699420101348,704176485965412.2,27183575173713.21,4176642123344.654,575628328549.6069,147207041329.6606,42359173373.14657,11322648111.36793,2108783897.2754,611676128.200842,382520115.3153117
23,1054244835,3.220390561224612e+16,1.38711927356648e+16,9574641690381952,2625857630564092,783765783400869.8,35552852635111.62,5946141178776.473,731433071550.5305,139552574463.0097,39087344349.76424,9467112722.863386,2678852368.698925,646730299.2479587,446346206.4961628
24,1055244872,2.284571388172509e+16,1.210838654544283e+16,6621419429835341,2086171916999164,798740010190485.9,39079256512277.09,5584944657921.114,675815800876.3091,163619448864.856,56533887009.28474,13108093789.72817,3106163886.977004,783353419.200249,554763108.7509842
25,1056244909,3.576326948393539e+16,1.12566897128229e+16,5371897282358839,2805286511120090,774381694637078.8,41257695004163.96,6176810982952.271,690362321627.4346,147213803576.362,45851429212.75236,8467352167.297341,2758715665.298795,761312526.7689624,581601203.017751
