suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,100,17,atmals-gsk,per_function_runlevel,51,5.300000e+01,1.112413e-08,2.304285e-08,win,ok
cec2017,100,17,egsk,per_function_runlevel,51,5.980000e+02,5.454523e-01,5.858561e-01,tie,ok
cec2017,100,18,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,18,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,18,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,18,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,18,atmals-gsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.580776e-09,win,ok
cec2017,100,18,egsk,per_function_runlevel,51,1.020000e+02,1.492681e-07,2.546339e-07,loss,ok
cec2017,100,19,gsk,per_function_runlevel,51,1.610000e+02,2.594531e-06,3.960073e-06,win,ok
cec2017,100,19,agsk,per_function_runlevel,51,4.310000e+02,3.000995e-02,3.481155e-02,loss,ok
cec2017,100,19,apgsk,per_function_runlevel,51,5.390000e+02,2.470180e-01,2.558400e-01,tie,ok
cec2017,100,19,fdb-agsk,per_function_runlevel,51,5.580000e+02,3.273195e-01,3.650872e-01,tie,ok
cec2017,100,19,atmals-gsk,per_function_runlevel,51,1.220000e+02,4.061809e-07,7.852831e-07,win,ok
cec2017,100,19,egsk,per_function_runlevel,51,2.260000e+02,4.287878e-05,6.217424e-05,loss,ok
cec2017,100,20,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,20,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,9.102322e-10,win,ok
cec2017,100,20,apgsk,per_function_runlevel,51,5.600000e+01,1.311799e-08,1.811532e-08,win,ok
cec2017,100,20,fdb-agsk,per_function_runlevel,51,1.360000e+02,8.021611e-07,1.107746e-06,win,ok
cec2017,100,20,atmals-gsk,per_function_runlevel,51,1.500000e+01,1.289355e-09,3.115941e-09,win,ok
cec2017,100,20,egsk,per_function_runlevel,51,3.300000e+01,3.633982e-09,7.025698e-09,win,ok
cec2017,100,21,gsk,per_function_runlevel,51,4.790000e+02,8.542671e-02,9.909498e-02,tie,ok
cec2017,100,21,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,21,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
