suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,50,3,fdb-agsk,50000,2.266108e+05,51,ok
cec2017,50,3,fdb-agsk,100000,1.779601e+05,51,ok
cec2017,50,3,fdb-agsk,150000,1.396418e+05,51,ok
cec2017,50,3,fdb-agsk,200000,1.084612e+05,51,ok
cec2017,50,3,fdb-agsk,250000,7.512002e+04,51,ok
cec2017,50,3,fdb-agsk,300000,4.775408e+04,51,ok
cec2017,50,3,fdb-agsk,350000,2.643888e+04,51,ok
cec2017,50,3,fdb-agsk,400000,1.084993e+04,51,ok
cec2017,50,3,fdb-agsk,450000,2.946115e+03,51,ok
cec2017,50,3,fdb-agsk,500000,5.010224e+02,51,ok
cec2017,50,3,atmals-gsk,5000,2.400974e+05,51,ok
cec2017,50,3,atmals-gsk,10000,2.226683e+05,51,ok
cec2017,50,3,atmals-gsk,15000,2.134877e+05,51,ok
cec2017,50,3,atmals-gsk,25000,2.023054e+05,51,ok
cec2017,50,3,atmals-gsk,50000,1.818240e+05,51,ok
cec2017,50,3,atmals-gsk,100000,1.154808e+05,51,ok
cec2017,50,3,atmals-gsk,150000,3.643109e+04,51,ok
cec2017,50,3,atmals-gsk,200000,6.391257e+03,51,ok
cec2017,50,3,atmals-gsk,250000,6.757077e+02,51,ok
cec2017,50,3,atmals-gsk,300000,4.545474e+01,51,ok
cec2017,50,3,atmals-gsk,350000,9.970491e-01,51,ok
cec2017,50,3,atmals-gsk,400000,7.231445e-03,51,ok
cec2017,50,3,atmals-gsk,450000,4.112792e-05,51,ok
cec2017,50,3,atmals-gsk,500000,4.871457e-07,51,ok
cec2017,50,3,egsk,5000,2.407731e+05,51,ok
cec2017,50,3,egsk,10000,2.283736e+05,51,ok
cec2017,50,3,egsk,15000,2.228731e+05,51,ok
cec2017,50,3,egsk,25000,2.168722e+05,51,ok
cec2017,50,3,egsk,50000,1.984533e+05,51,ok
cec2017,50,3,egsk,100000,1.426255e+05,51,ok
cec2017,50,3,egsk,150000,3.663473e+04,51,ok
cec2017,50,3,egsk,200000,5.978118e+03,51,ok
cec2017,50,3,egsk,250000,9.247471e+02,51,ok
cec2017,50,3,egsk,300000,9.675824e+01,51,ok
cec2017,50,3,egsk,350000,5.911299e+00,51,ok
cec2017,50,3,egsk,400000,0.000000e+00,51,ok
cec2017,50,3,egsk,450000,0.000000e+00,51,ok
cec2017,50,3,egsk,500000,0.000000e+00,51,ok
cec2017,50,3,dt-gsk,5000,2.836315e+05,51,ok
cec2017,50,3,dt-gsk,10000,2.543568e+05,51,ok
cec2017,50,3,dt-gsk,15000,2.334872e+05,51,ok
cec2017,50,3,dt-gsk,25000,2.166301e+05,51,ok
cec2017,50,3,dt-gsk,50000,1.839253e+05,51,ok
cec2017,50,3,dt-gsk,100000,5.558727e+04,51,ok
cec2017,50,3,dt-gsk,150000,7.663616e+03,51,ok
cec2017,50,3,dt-gsk,200000,9.093315e+02,51,ok
cec2017,50,3,dt-gsk,250000,1.054650e+02,51,ok
cec2017,50,3,dt-gsk,300000,6.257499e+00,51,ok
cec2017,50,3,dt-gsk,350000,6.682840e-02,51,ok
cec2017,50,3,dt-gsk,400000,4.371541e-04,51,ok
cec2017,50,3,dt-gsk,450000,3.565516e-06,51,ok
cec2017,50,3,dt-gsk,500000,3.450497e-08,51,ok
cec2017,50,4,gsk,5000,6.231121e+03,51,ok
cec2017,50,4,gsk,10000,1.330786e+03,51,ok
cec2017,50,4,gsk,15000,5.230665e+02,51,ok
cec2017,50,4,gsk,25000,2.450677e+02,51,ok
cec2017,50,4,gsk,50000,1.488453e+02,51,ok
cec2017,50,4,gsk,100000,1.097850e+02,51,ok
cec2017,50,4,gsk,150000,1.015026e+02,51,ok
cec2017,50,4,gsk,200000,9.781833e+01,51,ok
cec2017,50,4,gsk,250000,9.336648e+01,51,ok
cec2017,50,4,gsk,300000,9.080624e+01,51,ok
cec2017,50,4,gsk,350000,8.713400e+01,51,ok
cec2017,50,4,gsk,400000,8.392830e+01,51,ok
cec2017,50,4,gsk,450000,7.925870e+01,51,ok
cec2017,50,4,gsk,500000,7.576803e+01,51,ok
cec2017,50,4,agsk,5000,4.188889e+04,51,ok
cec2017,50,4,agsk,10000,1.895434e+04,51,ok
cec2017,50,4,agsk,15000,9.907097e+03,51,ok
cec2017,50,4,agsk,25000,3.133797e+03,51,ok
cec2017,50,4,agsk,50000,4.953507e+02,51,ok
cec2017,50,4,agsk,100000,1.023571e+02,51,ok
cec2017,50,4,agsk,150000,7.647606e+01,51,ok
cec2017,50,4,agsk,200000,6.083721e+01,51,ok
cec2017,50,4,agsk,250000,5.325845e+01,51,ok
cec2017,50,4,agsk,300000,4.228121e+01,51,ok
cec2017,50,4,agsk,350000,3.867619e+01,51,ok
cec2017,50,4,agsk,400000,3.612595e+01,51,ok
cec2017,50,4,agsk,450000,3.312329e+01,51,ok
cec2017,50,4,agsk,500000,3.183045e+01,51,ok
cec2017,50,4,apgsk,5000,4.166606e+04,51,ok
cec2017,50,4,apgsk,10000,1.898790e+04,51,ok
cec2017,50,4,apgsk,15000,9.674700e+03,51,ok
cec2017,50,4,apgsk,25000,3.292178e+03,51,ok
cec2017,50,4,apgsk,50000,6.150186e+02,51,ok
cec2017,50,4,apgsk,100000,3.353145e+02,51,ok
cec2017,50,4,apgsk,150000,2.652584e+02,51,ok
cec2017,50,4,apgsk,200000,2.244272e+02,51,ok
cec2017,50,4,apgsk,250000,1.936478e+02,51,ok
cec2017,50,4,apgsk,300000,1.083664e+02,51,ok
cec2017,50,4,apgsk,350000,8.742545e+01,51,ok
cec2017,50,4,apgsk,400000,7.299108e+01,51,ok
cec2017,50,4,apgsk,450000,6.619000e+01,51,ok
cec2017,50,4,apgsk,500000,6.326336e+01,51,ok
cec2017,50,4,fdb-agsk,5000,3.988414e+04,51,ok
cec2017,50,4,fdb-agsk,10000,1.750379e+04,51,ok
cec2017,50,4,fdb-agsk,15000,7.893496e+03,51,ok
cec2017,50,4,fdb-agsk,25000,2.046765e+03,51,ok
cec2017,50,4,fdb-agsk,50000,3.251649e+02,51,ok
cec2017,50,4,fdb-agsk,100000,1.113318e+02,51,ok
cec2017,50,4,fdb-agsk,150000,8.418320e+01,51,ok
cec2017,50,4,fdb-agsk,200000,7.385519e+01,51,ok
cec2017,50,4,fdb-agsk,250000,7.074667e+01,51,ok
cec2017,50,4,fdb-agsk,300000,7.057662e+01,51,ok
cec2017,50,4,fdb-agsk,350000,7.043713e+01,51,ok
cec2017,50,4,fdb-agsk,400000,7.041458e+01,51,ok
cec2017,50,4,fdb-agsk,450000,7.041169e+01,51,ok
cec2017,50,4,fdb-agsk,500000,7.041155e+01,51,ok
cec2017,50,4,atmals-gsk,5000,5.733811e+03,51,ok
cec2017,50,4,atmals-gsk,10000,1.168689e+03,51,ok
cec2017,50,4,atmals-gsk,15000,4.777608e+02,51,ok
cec2017,50,4,atmals-gsk,25000,2.482048e+02,51,ok
cec2017,50,4,atmals-gsk,50000,1.578034e+02,51,ok
cec2017,50,4,atmals-gsk,100000,1.187070e+02,51,ok
cec2017,50,4,atmals-gsk,150000,9.608740e+01,51,ok
cec2017,50,4,atmals-gsk,200000,8.688082e+01,51,ok
cec2017,50,4,atmals-gsk,250000,7.600222e+01,51,ok
cec2017,50,4,atmals-gsk,300000,6.236023e+01,51,ok
cec2017,50,4,atmals-gsk,350000,5.407995e+01,51,ok
cec2017,50,4,atmals-gsk,400000,4.853839e+01,51,ok
cec2017,50,4,atmals-gsk,450000,4.308181e+01,51,ok
cec2017,50,4,atmals-gsk,500000,3.427124e+01,51,ok
cec2017,50,4,egsk,5000,8.701661e+03,51,ok
cec2017,50,4,egsk,10000,2.178001e+03,51,ok
cec2017,50,4,egsk,15000,7.777715e+02,51,ok
cec2017,50,4,egsk,25000,2.962991e+02,51,ok
cec2017,50,4,egsk,50000,1.715742e+02,51,ok
cec2017,50,4,egsk,100000,1.212697e+02,51,ok
cec2017,50,4,egsk,150000,1.097104e+02,51,ok
cec2017,50,4,egsk,200000,1.017370e+02,51,ok
cec2017,50,4,egsk,250000,9.744142e+01,51,ok
cec2017,50,4,egsk,300000,9.272366e+01,51,ok
cec2017,50,4,egsk,350000,9.088013e+01,51,ok
cec2017,50,4,egsk,400000,1.330805e+01,51,ok
cec2017,50,4,egsk,450000,1.330803e+01,51,ok
cec2017,50,4,egsk,500000,1.330803e+01,51,ok
cec2017,50,4,dt-gsk,5000,2.215713e+04,51,ok
cec2017,50,4,dt-gsk,10000,8.941786e+03,51,ok
cec2017,50,4,dt-gsk,15000,4.183189e+03,51,ok
cec2017,50,4,dt-gsk,25000,1.176190e+03,51,ok
cec2017,50,4,dt-gsk,50000,3.075140e+02,51,ok
cec2017,50,4,dt-gsk,100000,1.668642e+02,51,ok
cec2017,50,4,dt-gsk,150000,1.437273e+02,51,ok
cec2017,50,4,dt-gsk,200000,1.196272e+02,51,ok
cec2017,50,4,dt-gsk,250000,9.927546e+01,51,ok
cec2017,50,4,dt-gsk,300000,8.927150e+01,51,ok
cec2017,50,4,dt-gsk,350000,8.213934e+01,51,ok
cec2017,50,4,dt-gsk,400000,7.668265e+01,51,ok
cec2017,50,4,dt-gsk,450000,7.539060e+01,51,ok
cec2017,50,4,dt-gsk,500000,6.850374e+01,51,ok
cec2017,50,5,gsk,5000,5.698738e+02,51,ok
cec2017,50,5,gsk,10000,4.920654e+02,51,ok
cec2017,50,5,gsk,15000,4.564619e+02,51,ok
cec2017,50,5,gsk,25000,4.262800e+02,51,ok
cec2017,50,5,gsk,50000,3.944819e+02,51,ok
cec2017,50,5,gsk,100000,3.687797e+02,51,ok
cec2017,50,5,gsk,150000,3.541669e+02,51,ok
cec2017,50,5,gsk,200000,3.470523e+02,51,ok
cec2017,50,5,gsk,250000,3.401748e+02,51,ok
cec2017,50,5,gsk,300000,3.360860e+02,51,ok
cec2017,50,5,gsk,350000,3.303309e+02,51,ok
