suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2017,10,17,agsk,51,-7.232125e-01,-9.754627e-01,-5.465162e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,17,apgsk,51,-1.093040e+00,-1.331826e+00,-8.610842e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,17,fdb-agsk,51,-9.536375e-01,-1.137736e+00,-7.919839e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,17,atmals-gsk,51,-2.050905e+01,-2.328733e+01,-1.758503e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,17,egsk,51,-7.297218e+00,-9.480932e+00,-5.498269e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,gsk,51,-2.759937e-01,-1.825439e+00,1.582473e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,agsk,51,3.027682e-01,1.733402e-01,5.657966e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,apgsk,51,-1.249854e-01,-3.409027e-01,1.561162e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,fdb-agsk,51,3.320426e-01,2.105042e-01,6.088303e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,atmals-gsk,51,-3.012902e+00,-5.175771e+00,-1.547278e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,18,egsk,51,-3.141150e-01,-1.934172e+00,1.439480e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,gsk,51,-7.066890e-02,-9.954774e-02,-5.142071e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,agsk,51,-4.838221e-02,-6.681704e-02,-3.463928e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,apgsk,51,-6.423320e-02,-8.331802e-02,-4.929063e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,fdb-agsk,51,-7.431115e-02,-9.003704e-02,-6.121526e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,atmals-gsk,51,-4.425592e-01,-5.663670e-01,-3.503392e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,19,egsk,51,-2.990080e-02,-4.803863e-02,-1.778694e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
