suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,50,16,gsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.907949e-09,win,ok
cec2017,50,16,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,16,apgsk,per_function_runlevel,51,7.700000e+01,4.071231e-08,5.622176e-08,win,ok
cec2017,50,16,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.170299e-09,win,ok
cec2017,50,16,atmals-gsk,per_function_runlevel,51,1.030000e+02,1.570564e-07,2.530354e-07,win,ok
cec2017,50,16,egsk,per_function_runlevel,51,2.880000e+02,4.475819e-04,8.653249e-04,loss,ok
cec2017,50,17,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,17,agsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,3.301855e-09,win,ok
cec2017,50,17,apgsk,per_function_runlevel,51,2.400000e+01,2.172123e-09,3.315346e-09,win,ok
cec2017,50,17,fdb-agsk,per_function_runlevel,51,2.000000e+01,1.724188e-09,2.941262e-09,win,ok
cec2017,50,17,atmals-gsk,per_function_runlevel,51,7.600000e+01,3.860777e-08,6.586031e-08,win,ok
cec2017,50,17,egsk,per_function_runlevel,51,1.720000e+02,4.276517e-06,1.127445e-05,win,ok
cec2017,50,18,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,18,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,18,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,18,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,18,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,2.048023e-09,win,ok
cec2017,50,18,egsk,per_function_runlevel,51,6.400000e+02,8.329630e-01,8.329630e-01,tie,ok
cec2017,50,19,gsk,per_function_runlevel,51,3.700000e+01,4.557729e-09,7.774950e-09,win,ok
cec2017,50,19,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.230191e-09,win,ok
cec2017,50,19,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.242038e-09,win,ok
cec2017,50,19,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,19,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,win,ok
cec2017,50,19,egsk,per_function_runlevel,51,6.200000e+01,1.819983e-08,9.804317e-08,win,ok
cec2017,50,20,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,20,agsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.550208e-09,win,ok
cec2017,50,20,apgsk,per_function_runlevel,51,6.000000e+00,7.600557e-10,1.469441e-09,win,ok
cec2017,50,20,fdb-agsk,per_function_runlevel,51,5.100000e+01,9.961999e-09,1.444490e-08,win,ok
cec2017,50,20,atmals-gsk,per_function_runlevel,51,3.100000e+01,3.243223e-09,6.270231e-09,win,ok
cec2017,50,20,egsk,per_function_runlevel,51,1.060000e+02,1.828521e-07,6.628388e-07,win,ok
cec2017,50,21,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.403320e-09,win,ok
cec2017,50,21,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,21,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,21,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,21,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,win,ok
cec2017,50,21,egsk,per_function_runlevel,51,4.530000e+02,4.955996e-02,5.988495e-02,tie,ok
cec2017,50,22,gsk,per_function_runlevel,51,8.000000e+00,2.796742e-09,5.069094e-09,win,ok
cec2017,50,22,agsk,per_function_runlevel,51,1.635000e+02,1.370045e-05,1.557460e-05,win,ok
cec2017,50,22,apgsk,per_function_runlevel,51,9.900000e+01,1.280794e-07,1.688320e-07,win,ok
cec2017,50,22,fdb-agsk,per_function_runlevel,51,2.800000e+01,2.732681e-09,4.402652e-09,win,ok
cec2017,50,22,atmals-gsk,per_function_runlevel,51,2.480000e+02,4.975945e-04,6.012601e-04,win,ok
cec2017,50,22,egsk,per_function_runlevel,51,6.700000e+01,2.385323e-08,9.882053e-08,win,ok
cec2017,50,23,gsk,per_function_runlevel,51,3.890000e+02,1.035805e-02,1.251598e-02,win,ok
cec2017,50,23,agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.230191e-09,win,ok
cec2017,50,23,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,23,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.170299e-09,win,ok
cec2017,50,23,atmals-gsk,per_function_runlevel,51,9.000000e+00,9.071719e-10,2.413533e-09,win,ok
cec2017,50,23,egsk,per_function_runlevel,51,2.940000e+02,5.521818e-04,1.000829e-03,loss,ok
cec2017,50,24,gsk,per_function_runlevel,51,5.240000e+02,1.942101e-01,2.085960e-01,tie,ok
cec2017,50,24,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.230191e-09,win,ok
cec2017,50,24,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.242038e-09,win,ok
cec2017,50,24,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,24,atmals-gsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,2.048023e-09,win,ok
cec2017,50,24,egsk,per_function_runlevel,51,2.570000e+02,1.441964e-04,2.986926e-04,loss,ok
cec2017,50,25,gsk,per_function_runlevel,51,2.510000e+02,1.147446e-04,1.663796e-04,win,ok
cec2017,50,25,agsk,per_function_runlevel,51,5.660000e+02,3.657093e-01,3.787704e-01,tie,ok
cec2017,50,25,apgsk,per_function_runlevel,51,2.470000e+02,9.836915e-05,1.141082e-04,win,ok
cec2017,50,25,fdb-agsk,per_function_runlevel,51,6.300000e+02,7.606423e-01,7.878081e-01,tie,ok
cec2017,50,25,atmals-gsk,per_function_runlevel,51,2.250000e+02,4.117847e-05,5.970878e-05,win,ok
cec2017,50,25,egsk,per_function_runlevel,51,2.240000e+02,3.954226e-05,8.820966e-05,win,ok
cec2017,50,26,gsk,per_function_runlevel,51,2.330000e+02,5.678442e-05,8.667096e-05,loss,ok
cec2017,50,26,agsk,per_function_runlevel,51,3.800000e+01,4.822220e-09,7.769133e-09,win,ok
cec2017,50,26,apgsk,per_function_runlevel,51,2.600000e+02,1.614644e-04,1.800949e-04,win,ok
cec2017,50,26,fdb-agsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.230191e-09,win,ok
cec2017,50,26,atmals-gsk,per_function_runlevel,51,6.700000e+01,2.385323e-08,4.323398e-08,win,ok
cec2017,50,26,egsk,per_function_runlevel,51,3.830000e+02,8.796043e-03,1.417140e-02,loss,ok
cec2017,50,27,gsk,per_function_runlevel,51,4.540000e+02,5.065759e-02,5.876281e-02,tie,ok
cec2017,50,27,agsk,per_function_runlevel,51,1.800000e+02,6.111419e-06,7.384631e-06,loss,ok
cec2017,50,27,apgsk,per_function_runlevel,51,4.020000e+02,1.461473e-02,1.569730e-02,win,ok
cec2017,50,27,fdb-agsk,per_function_runlevel,51,2.510000e+02,1.147446e-04,1.386497e-04,loss,ok
cec2017,50,27,atmals-gsk,per_function_runlevel,51,2.730000e+02,2.613238e-04,3.294952e-04,win,ok
cec2017,50,27,egsk,per_function_runlevel,51,4.170000e+02,2.138106e-02,3.100253e-02,win,ok
cec2017,50,28,gsk,per_function_runlevel,51,3.370000e+02,3.779855e-03,4.765904e-03,win,ok
cec2017,50,28,agsk,per_function_runlevel,51,4.700000e+02,5.957549e-01,5.957549e-01,tie,ok
cec2017,50,28,apgsk,per_function_runlevel,51,5.790000e+02,4.338123e-01,4.493056e-01,tie,ok
cec2017,50,28,fdb-agsk,per_function_runlevel,51,5.395000e+02,6.224973e-01,6.686082e-01,tie,ok
cec2017,50,28,atmals-gsk,per_function_runlevel,51,3.720000e+02,6.643703e-02,7.135829e-02,tie,ok
cec2017,50,28,egsk,per_function_runlevel,51,6.300000e+02,7.606423e-01,7.878081e-01,tie,ok
cec2017,50,29,gsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,3.742102e-09,loss,ok
cec2017,50,29,agsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.230191e-09,win,ok
cec2017,50,29,apgsk,per_function_runlevel,51,2.000000e+00,5.996047e-10,1.242038e-09,win,ok
cec2017,50,29,fdb-agsk,per_function_runlevel,51,1.600000e+01,1.366751e-09,2.477236e-09,win,ok
cec2017,50,29,atmals-gsk,per_function_runlevel,51,6.060000e+02,5.963887e-01,6.176882e-01,tie,ok
cec2017,50,29,egsk,per_function_runlevel,51,6.400000e+01,2.028479e-08,9.804317e-08,loss,ok
cec2017,50,30,gsk,per_function_runlevel,51,3.380000e+02,2.352679e-03,3.101258e-03,loss,ok
cec2017,50,30,agsk,per_function_runlevel,51,1.360000e+02,8.021611e-07,1.011421e-06,loss,ok
cec2017,50,30,apgsk,per_function_runlevel,51,1.960000e+02,1.228033e-05,1.483874e-05,loss,ok
cec2017,50,30,fdb-agsk,per_function_runlevel,51,1.360000e+02,8.021611e-07,1.057394e-06,loss,ok
cec2017,50,30,atmals-gsk,per_function_runlevel,51,6.570000e+02,9.588839e-01,9.588839e-01,tie,ok
cec2017,50,30,egsk,per_function_runlevel,51,4.200000e+02,2.302215e-02,3.179250e-02,loss,ok
